Title,Director,Star Cast,Year,IMDb Rating,MetaScore,Certificates,Genre,Duration (minutes)
The Secret World of Arrietty,Hiromasa Yonebayashi,Bridgit Mendler,2010,7.6,80,G,Animation,94
The Great Mouse Detective,Ron Clements,Vincent Price,1986,7.1,73,G,Animation,74
The Three Stooges,Bobby Farrelly,Sean Hayes,2012,5.1,56,PG,Comedy,92
Alice Through the Looking Glass,James Bobin,Mia Wasikowska,2016,6.2,34,PG,Adventure,113
A Dog's Purpose,Lasse Hallström,Josh Gad,2017,7.2,43,PG,Adventure,100
Kicking & Screaming,Jesse Dylan,Will Ferrell,2005,5.6,45,PG,Comedy,95
Open Season,Roger Allers,Ashton Kutcher,2006,6.1,49,PG,Animation,86
10 Lives,Christopher Jenkins,Mo Gilligan,2024,5.9,57.1,TV-G,Animation,88
The Wiz,Sidney Lumet,Diana Ross,1978,5.5,53,G,Adventure,134
Horton Hears a Who!,Jimmy Hayward,Jim Carrey,2008,6.8,71,G,Animation,86
The Imaginary,Yoshiyuki Momose,Kokoro Terada,2023,6.7,66,PG,Animation,105
The Angry Birds Movie 2,Thurop Van Orman,Jason Sudeikis,2019,6.4,60,PG,Animation,97
Beethoven,Brian Levant,Charles Grodin,1992,5.7,57.1,PG,Comedy,87
Three Men and a Baby,Leonard Nimoy,Tom Selleck,1987,6.1,61,PG,Comedy,102
What a Girl Wants,Dennie Gordon,Amanda Bynes,2003,5.8,41,PG,Comedy,105
Soul Surfer,Sean McNamara,AnnaSophia Robb,2011,7,53,PG,Biography,112
Rio 2,Carlos Saldanha,Jesse Eisenberg,2014,6.3,49,G,Animation,101
The Sorcerer's Apprentice,Jon Turteltaub,Nicolas Cage,2010,6.1,46,PG,Action,109
The Croods: A New Age,Joel Crawford,Nicolas Cage,2020,6.9,56,PG,Animation,95
Strange World,Don Hall,Jake Gyllenhaal,2022,5.7,65,PG,Animation,102
The Polar Express,Robert Zemeckis,Tom Hanks,2004,6.6,61,G,Animation,100
Castle in the Sky,Hayao Miyazaki,Mayumi Tanaka,1986,8,78,PG,Animation,125
Alvin and the Chipmunks: The Squeakquel,Betty Thomas,Jason Lee,2009,4.5,41,PG,Adventure,88
Chicken Run,Peter Lord,Mel Gibson,2000,7.1,88,G,Animation,84
Doraemon the Movie: Nobita's Earth Symphony,Kazuaki Imai,Wasabi Mizuta,2024,6.8,57.1,PG,Animation,100
Daddy Day Care,Steve Carr,Eddie Murphy,2003,5.6,39,PG,Comedy,92
Scooby-Doo 2: Monsters Unleashed,Raja Gosnell,Freddie Prinze Jr.,2004,5.2,34,PG,Adventure,93
Monte Carlo,Thomas Bezucha,Selena Gomez,2011,5.8,43,PG,Adventure,109
Chicken Run: Dawn of the Nugget,Sam Fell,Thandiwe Newton,2023,6.4,63,PG,Animation,98
D2: The Mighty Ducks,Sam Weisman,Emilio Estevez,1994,6.1,57.1,PG,Comedy,106
Dennis the Menace,Nick Castle,Walter Matthau,1993,5.7,49,PG,Comedy,94
Rise of the Guardians,Peter Ramsey,Hugh Jackman,2012,7.2,58,PG,Animation,97
The Golden Compass,Chris Weitz,Nicole Kidman,2007,6.1,51,PG-13,Adventure,113
Spirit: Stallion of the Cimarron,Kelly Asbury,Matt Damon,2002,7.2,52,G,Animation,83
Bee Movie,Simon J. Smith,Jerry Seinfeld,2007,6.1,54,PG,Animation,91
Diary of a Wimpy Kid: Rodrick Rules,David Bowers,Zachary Gordon,2011,6.6,51,PG,Comedy,99
Brother Bear,Aaron Blaise,Joaquin Phoenix,2003,6.9,48,G,Animation,85
My Fair Lady,George Cukor,Audrey Hepburn,1964,7.7,95,G,Drama,170
The Book of Life,Jorge R. Gutiérrez,Diego Luna,2014,7.2,67,PG,Animation,95
Madagascar 3: Europe's Most Wanted,Eric Darnell,Ben Stiller,2012,6.8,60,PG,Animation,93
Lost in Space,Stephen Hopkins,Gary Oldman,1998,5.2,43,PG-13,Action,130
The Day the Earth Blew Up: A Looney Tunes Movie,Peter Browngardt,Eric Bauza,2024,8.4,57.1,PG,Animation,100
Around the World in 80 Days,Frank Coraci,Jackie Chan,2004,5.9,49,PG,Action,120
The Pacifier,Adam Shankman,Vin Diesel,2005,5.6,30,PG,Action,95
Peter Pan & Wendy,David Lowery,Alexander Molony,2023,4.4,61,PG,Action,106
True Spirit,Sarah Spillane,Alyla Browne,2023,6.8,50,TV-PG,Adventure,109
Fiddler on the Roof,Norman Jewison,Topol,1971,8,67,G,Drama,181
Marley & Me,David Frankel,Owen Wilson,2008,7,53,PG,Drama,115
Clash of the Titans,Desmond Davis,Laurence Olivier,1981,6.9,59,PG,Action,118
Eragon,Stefen Fangmeier,Ed Speleers,2006,5.1,38,PG,Action,104
Puss in Boots,Chris Miller,Antonio Banderas,2011,6.6,65,PG,Animation,90
Disenchanted,Adam Shankman,Amy Adams,2022,5.6,50,PG,Animation,119
Speed Racer,Lana Wachowski,Emile Hirsch,2008,6.1,37,PG,Action,135
Journey to the Center of the Earth,Henry Levin,James Mason,1959,7,57.1,Approved,Adventure,129
Maleficent: Mistress of Evil,Joachim Rønning,Angelina Jolie,2019,6.6,43,PG,Adventure,119
The Smurfs,Raja Gosnell,Hank Azaria,2011,5.4,30,PG,Animation,103
The Rescuers Down Under,Hendel Butoy,Bob Newhart,1990,6.8,68,G,Animation,77
The Great Race,Blake Edwards,Tony Curtis,1965,7.2,71,Approved,Action,160
DC League of Super-Pets,Jared Stern,Dwayne Johnson,2022,7.1,56,PG,Animation,105
Hairspray,John Waters,Sonny Bono,1988,7,77,PG,Comedy,92
Alice in Wonderland,Clyde Geronimi,Kathryn Beaumont,1951,7.3,68,Approved,Animation,75
Free Willy,Simon Wincer,Jason James Richter,1993,6,79,PG,Adventure,112
The Witches,Nicolas Roeg,Anjelica Huston,1990,6.8,78,PG,Adventure,91
One Hundred and One Dalmatians,Clyde Geronimi,Rod Taylor,1961,7.3,83,G,Animation,79
The Sea Beast,Chris Williams,Karl Urban,2022,7,74,PG,Animation,115
Mr. Hobbs Takes a Vacation,Henry Koster,James Stewart,1962,6.8,57.1,Approved,Comedy,116
Richie Rich,Donald Petrie,Macaulay Culkin,1994,5.4,49,PG,Comedy,95
A Little Princess,Alfonso Cuarón,Liesel Matthews,1995,7.6,83,G,Drama,97
Stuart Little,Rob Minkoff,Michael J. Fox,1999,6,61,PG,Adventure,84
Ella Enchanted,Tommy O'Haver,Anne Hathaway,2004,6.3,53,PG,Comedy,96
Surf's Up,Ash Brannon,Shia LaBeouf,2007,6.7,64,PG,Animation,85
The Muppet Movie,James Frawley,Jim Henson,1979,7.6,74,G,Adventure,95
The Call of the Wild,Chris Sanders,Harrison Ford,2020,6.7,48,PG,Adventure,100
The Lego Movie 2: The Second Part,Mike Mitchell,Chris Pratt,2019,6.5,65,PG,Animation,107
How to Train Your Dragon 2,Dean DeBlois,Jay Baruchel,2014,7.8,77,PG,Animation,102
Hotel Transylvania 2,Genndy Tartakovsky,Adam Sandler,2015,6.6,44,PG,Animation,89
How Green Was My Valley,John Ford,Walter Pidgeon,1941,7.7,88,Approved,Drama,118
Flight of the Navigator,Randal Kleiser,Joey Cramer,1986,6.9,64,PG,Adventure,90
The Wizard,Todd Holland,Fred Savage,1989,6.1,23,PG,Adventure,100
Monster House,Gil Kenan,Mitchel Musso,2006,6.7,68,PG,Animation,91
Bugsy Malone,Alan Parker,Jodie Foster,1976,6.8,71,G,Comedy,93
Ice Age: Dawn of the Dinosaurs,Carlos Saldanha,Ray Romano,2009,6.9,50,PG,Animation,94
Hotel Transylvania 3: Summer Vacation,Genndy Tartakovsky,Adam Sandler,2018,6.3,54,PG,Animation,97
Toys,Barry Levinson,Robin Williams,1992,5.1,40,PG-13,Adventure,118
The Adventures of Tintin,Steven Spielberg,Jamie Bell,2011,7.3,68,PG,Animation,107
It Takes Two,Andy Tennant,Kirstie Alley,1995,5.9,45,PG,Comedy,101
The Game Plan,Andy Fickman,Dwayne Johnson,2007,6.4,44,PG,Comedy,110
Fantasia,James Algar,Leopold Stokowski,1940,7.7,96,G,Animation,124
Trolls World Tour,Walt Dohrn,Anna Kendrick,2020,6.1,51,PG,Animation,91
Happy Feet,George Miller,Elijah Wood,2006,6.4,77,PG,Animation,108
Twelve,Steve Grimaldi,Erik Heger,2019,6.3,57.1,PG,Family,100
White Bird,Marc Forster,Gillian Anderson,2023,7.2,57.1,Not Rated,Adventure,120
Major Payne,Nick Castle,Damon Wayans,1995,6.3,34,PG-13,Adventure,95
Newsies,Kenny Ortega,Christian Bale,1992,6.9,46,PG,Drama,121
Meet the Robinsons,Stephen J. Anderson,Daniel Hansen,2007,6.8,61,G,Animation,95
Paul Blart: Mall Cop,Steve Carr,Kevin James,2009,5.3,39,PG,Action,91
Annie,Will Gluck,Quvenzhané Wallis,2014,5.4,33,PG,Comedy,118
The BFG,Steven Spielberg,Mark Rylance,2016,6.3,66,PG,Adventure,117
Snow White and the Seven Dwarfs,William Cottrell,Adriana Caselotti,1937,7.6,96,Approved,Animation,83
Home Alone 2: Lost in New York,Chris Columbus,Macaulay Culkin,1992,6.9,46,PG,Adventure,120
Epic,Chris Wedge,Amanda Seyfried,2013,6.6,52,PG,Animation,102
Corpse Bride,Tim Burton,Johnny Depp,2005,7.4,83,PG,Animation,77
Tall Girl,Nzingha Stewart,Ava Michelle,2019,5.2,57.1,TV-PG,Comedy,101
Elf,Jon Favreau,Will Ferrell,2003,7.1,66,PG,Adventure,97
The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,Ben Barnes,2010,6.3,53,PG,Adventure,113
Daddy's Home,Sean Anders,Will Ferrell,2015,6.2,42,PG-13,Comedy,96
Babe,Chris Noonan,James Cromwell,1995,6.9,83,G,Comedy,91
Freaky Friday,Gary Nelson,Barbara Harris,1976,6.3,51,G,Comedy,98
Luck,Peggy Holmes,Eva Noblezada,2022,6.4,48,G,Animation,105
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,Ben Barnes,2008,6.5,62,PG,Action,150
The Land Before Time,Don Bluth,Pat Hingle,1988,7.4,66,G,Animation,69
Air Bud,Charles Martin Smith,Michael Jeter,1997,5.3,57.1,PG,Comedy,98
I Can Only Imagine,Andrew Erwin,John Michael Finley,2018,7.3,30,PG,Biography,110
Bedtime Stories,Adam Shankman,Adam Sandler,2008,6,33,PG,Adventure,99
Tom & Jerry,Tim Story,Chloë Grace Moretz,2021,5.3,32,PG,Animation,101
The Kid Who Would Be King,Joe Cornish,Louis Ashbourne Serkis,2019,6.1,66,PG,Action,120
Guillermo del Toro's Pinocchio,Guillermo del Toro,Ewan McGregor,2022,7.6,79,PG,Animation,117
All Dogs Go to Heaven,Don Bluth,Dom DeLuise,1989,6.7,50,G,Animation,84
Nanny McPhee,Kirk Jones,Emma Thompson,2005,6.6,59,PG,Comedy,97
Turbo,David Soren,Ryan Reynolds,2013,6.4,58,PG,Animation,96
Ferdinand,Carlos Saldanha,John Cena,2017,6.7,58,PG,Animation,108
Hugo,Martin Scorsese,Asa Butterfield,2011,7.5,83,PG,Adventure,126
FernGully: The Last Rainforest,Bill Kroyer,Samantha Mathis,1992,6.5,67,G,Animation,76
Dinosaur,Eric Leighton,D.B. Sweeney,2000,6.4,56,PG,Animation,82
Miracles from Heaven,Patricia Riggen,Jennifer Garner,2016,7.1,44,PG,Biography,109
Mary Poppins Returns,Rob Marshall,Emily Blunt,2018,6.7,66,PG,Adventure,130
The SpongeBob SquarePants Movie,Stephen Hillenburg,Tom Kenny,2004,7.2,67,PG,Animation,87
The Spiderwick Chronicles,Mark Waters,Freddie Highmore,2008,6.5,62,PG,Action,96
Small Soldiers,Joe Dante,Kirsten Dunst,1998,6.3,57.1,PG-13,Action,110
How to Train Your Dragon: The Hidden World,Dean DeBlois,Jay Baruchel,2019,7.4,71,PG,Animation,104
George of the Jungle,Sam Weisman,Brendan Fraser,1997,5.5,53,PG,Action,92
A Cinderella Story,Mark Rosman,Hilary Duff,2004,5.9,25,PG,Comedy,95
Cool Runnings,Jon Turteltaub,John Candy,1993,7,60,PG,Adventure,98
Baby's Day Out,Patrick Read Johnson,Lara Flynn Boyle,1994,6.2,57.1,PG,Adventure,99
Cinderella,Clyde Geronimi,Ilene Woods,1950,7.3,85,G,Animation,74
The Aristocats,Wolfgang Reitherman,Phil Harris,1970,7.1,66,G,Animation,78
A Goofy Movie,Kevin Lima,Bill Farmer,1995,6.9,53,G,Animation,78
The Angry Birds Movie,Clay Kaytis,Jason Sudeikis,2016,6.3,43,PG,Animation,97
101 Dalmatians,Stephen Herek,Glenn Close,1996,5.7,50,G,Adventure,103
How the Grinch Stole Christmas,Ron Howard,Jim Carrey,2000,6.3,46,PG,Comedy,104
RV,Barry Sonnenfeld,Robin Williams,2006,5.6,33,PG,Adventure,99
We Can Be Heroes,Robert Rodriguez,YaYa Gosselin,2020,4.7,51,PG,Action,100
Haunted Mansion,Justin Simien,LaKeith Stanfield,2023,6,47,PG-13,Comedy,123
Space Jam: A New Legacy,Malcolm D. Lee,LeBron James,2021,4.5,36,PG,Animation,115
Cloudy with a Chance of Meatballs,Phil Lord,Anna Faris,2009,6.9,66,PG,Animation,90
Nacho Libre,Jared Hess,Jack Black,2006,5.9,52,PG,Comedy,92
The Good Dinosaur,Peter Sohn,Jeffrey Wright,2015,6.7,66,PG,Animation,93
Zathura: A Space Adventure,Jon Favreau,Josh Hutcherson,2005,6.3,67,PG,Action,101
Madagascar: Escape 2 Africa,Eric Darnell,Ben Stiller,2008,6.6,61,PG,Animation,89
Spy Kids 3: Game Over,Robert Rodriguez,Daryl Sabara,2003,4.4,57,PG,Action,84
The Dark Crystal,Jim Henson,Jim Henson,1982,7.1,66,PG,Adventure,93
Ice Age: Continental Drift,Steve Martino,Ray Romano,2012,6.5,49,PG,Animation,88
Family Switch,McG,Jennifer Garner,2023,5.7,37,PG,Comedy,106
The Lorax,Chris Renaud,Zac Efron,2012,6.4,46,PG,Animation,86
The Mitchells vs. the Machines,Michael Rianda,Abbi Jacobson,2021,7.6,81,PG,Animation,114
Ponyo,Hayao Miyazaki,Cate Blanchett,2008,7.6,86,G,Animation,101
St. Trinian's,Oliver Parker,Talulah Riley,2007,5.8,39,PG-13,Comedy,97
Into the Woods,Rob Marshall,Anna Kendrick,2014,5.9,69,PG,Adventure,125
The Karate Kid Part II,John G. Avildsen,Pat Morita,1986,6.1,55,PG,Action,113
Kiki's Delivery Service,Hayao Miyazaki,Kirsten Dunst,1989,7.8,85,G,Animation,103
Super Mario Bros.,Annabel Jankel,Bob Hoskins,1993,4.2,35,PG,Adventure,104
Flushed Away,David Bowers,Hugh Jackman,2006,6.6,74,PG,Animation,85
The Boss Baby,Tom McGrath,Alec Baldwin,2017,6.3,50,PG,Animation,97
Over the Hedge,Tim Johnson,Bruce Willis,2006,6.7,67,PG,Animation,83
3 Ninjas,Jon Turteltaub,Victor Wong,1992,5.3,36,PG,Action,84
Short Circuit,John Badham,Ally Sheedy,1986,6.6,50,PG,Comedy,98
PAW Patrol: The Mighty Movie,Cal Brunker,Dan Duran,2023,5.9,49,PG,Animation,88
Peter Pan,Clyde Geronimi,Bobby Driscoll,1953,7.3,76,G,Animation,77
Shark Tale,Bibo Bergeron,Will Smith,2004,6,48,PG,Animation,90
Pocahontas,Mike Gabriel,Mel Gibson,1995,6.7,59,G,Animation,81
Tooth Fairy,Michael Lembeck,Dwayne Johnson,2010,5,36,PG,Comedy,101
Space Jam,Joe Pytka,Michael Jordan,1996,6.5,57,PG,Animation,88
The Witches,Robert Zemeckis,Anne Hathaway,2020,5.4,47,PG,Adventure,106
Casper,Brad Silberling,Bill Pullman,1995,6.2,49,PG,Comedy,100
The Lizzie McGuire Movie,Jim Fall,Hilary Duff,2003,5.5,56,PG,Adventure,94
Mighty Morphin Power Rangers,Bryan Spicer,Karan Ashley,1995,5.3,40,PG,Action,95
Aquamarine,Elizabeth Allen Rosenbaum,Emma Roberts,2006,5.4,51,PG,Comedy,110
Dora and the Lost City of Gold,James Bobin,Isabela Merced,2019,6.1,63,PG,Action,102
Bolt,Byron Howard,John Travolta,2008,6.8,67,PG,Animation,96
A Series of Unfortunate Events,Brad Silberling,Jim Carrey,2004,6.8,62,PG,Adventure,108
Orion and the Dark,Sean Charmatz,Jacob Tremblay,2024,6.3,72,TV-Y7,Animation,93
The Croods,Kirk DeMicco,Nicolas Cage,2013,7.1,55,PG,Animation,98
The Secret Garden,Agnieszka Holland,Kate Maberly,1993,7.3,74,G,Drama,101
The Last Airbender,M. Night Shyamalan,Noah Ringer,2010,4,20,PG,Action,103
Alvin and the Chipmunks,Tim Hill,Jason Lee,2007,5.2,39,PG,Adventure,92
The Jungle Book,Wolfgang Reitherman,Phil Harris,1967,7.6,65,Approved,Animation,78
Hotel Transylvania 4: Transformania,Derek Drymon,Andy Samberg,2022,6,46,PG,Animation,87
Ralph Breaks the Internet,Phil Johnston,John C. Reilly,2018,7,71,PG,Animation,112
The Iron Giant,Brad Bird,Eli Marienthal,1999,8.1,85,PG,Animation,86
Cheaper by the Dozen,Shawn Levy,Steve Martin,2003,5.9,46,PG,Comedy,98
The Prince of Egypt,Brenda Chapman,Val Kilmer,1998,7.2,64,PG,Animation,99
The Hunchback of Notre Dame,Gary Trousdale,Demi Moore,1996,7,74,G,Animation,91
The Cat in the Hat,Bo Welch,Mike Myers,2003,4.1,19,PG,Adventure,82
My Sister's Keeper,Nick Cassavetes,Cameron Diaz,2009,7.3,51,PG-13,Drama,109
Dolittle,Stephen Gaghan,Robert Downey Jr.,2020,5.6,26,PG,Adventure,101
Homeward Bound: The Incredible Journey,Duwayne Dunham,Michael J. Fox,1993,6.9,57.1,G,Adventure,84
Pinocchio,Robert Zemeckis,Joseph Gordon-Levitt,2022,5.1,38,PG,Adventure,105
Chitty Chitty Bang Bang,Ken Hughes,Dick Van Dyke,1968,6.9,64,G,Adventure,144
The Ten Commandments,Cecil B. DeMille,Charlton Heston,1956,7.9,57.1,G,Adventure,220
Cinderella,Kay Cannon,Camila Cabello,2021,4.4,41,PG,Comedy,112
The Nightmare Before Christmas,Henry Selick,Danny Elfman,1993,7.9,82,PG,Animation,76
Hachi: A Dog's Tale,Lasse Hallström,Richard Gere,2009,8.1,57.1,G,Biography,93
Oz the Great and Powerful,Sam Raimi,James Franco,2013,6.3,44,PG,Adventure,130
Paddington 2,Paul King,Ben Whishaw,2017,7.8,88,PG,Adventure,103
The Rocketeer,Joe Johnston,Billy Campbell,1991,6.6,58,PG,Action,108
Rookie of the Year,Daniel Stern,Thomas Ian Nicholas,1993,6.1,53,PG,Comedy,103
Heavyweights,Steven Brill,Tom McGowan,1995,6.6,42,PG,Comedy,97
Paddington,Paul King,Hugh Bonneville,2014,7.3,77,PG,Adventure,95
Secondhand Lions,Tim McCanlies,Haley Joel Osment,2003,7.5,52,PG,Comedy,109
Shrek Forever After,Mike Mitchell,Mike Myers,2010,6.3,58,PG,Animation,93
The Mighty Ducks,Stephen Herek,Emilio Estevez,1992,6.6,46,PG,Comedy,104
Onward,Dan Scanlon,Tom Holland,2020,7.4,61,PG,Animation,102
Journey to the Center of the Earth,Eric Brevig,Brendan Fraser,2008,5.8,57,PG,Action,93
Night at the Museum: Secret of the Tomb,Shawn Levy,Ben Stiller,2014,6.2,47,PG,Adventure,98
Nimona,Nick Bruno,Chloë Grace Moretz,2023,7.5,75,PG,Animation,101
Finding Dory,Andrew Stanton,Ellen DeGeneres,2016,7.2,77,PG,Animation,97
Sky High,Mike Mitchell,Kurt Russell,2005,6.3,62,PG,Action,100
We Bought a Zoo,Cameron Crowe,Matt Damon,2011,7,58,PG,Comedy,124
Treasure Planet,Ron Clements,Joseph Gordon-Levitt,2002,7.2,60,PG,Animation,95
Enchanted,Kevin Lima,Amy Adams,2007,7.1,75,PG,Animation,107
Cars 3,Brian Fee,Owen Wilson,2017,6.7,59,G,Animation,102
Matilda: The Musical,Matthew Warchus,Alisha Weir,2022,7,72,PG,Comedy,117
Father of the Bride,Charles Shyer,Steve Martin,1991,6.6,51,PG,Comedy,105
Pokémon: Detective Pikachu,Rob Letterman,Ryan Reynolds,2019,6.5,53,PG,Action,104
Fantastic Beasts: The Crimes of Grindelwald,David Yates,Eddie Redmayne,2018,6.5,52,PG-13,Adventure,134
Saving Bikini Bottom: The Sandy Cheeks Movie,Liza Johnson,Carolyn Lawrence,2024,4.1,57.1,Not Rated,Animation,82
Big Fat Liar,Shawn Levy,Frankie Muniz,2002,5.5,36,PG,Adventure,88
Moonrise Kingdom,Wes Anderson,Jared Gilman,2012,7.8,84,PG-13,Adventure,94
Hocus Pocus,Kenny Ortega,Bette Midler,1993,6.9,43,PG,Comedy,96
"Are You There God? It's Me, Margaret.",Kelly Fremon Craig,Abby Ryder Fortson,2023,7.3,84,PG-13,Comedy,106
Peter Pan,P.J. Hogan,Jeremy Sumpter,2003,6.8,64,PG,Adventure,113
Robin Hood,Wolfgang Reitherman,Brian Bedford,1973,7.5,57,G,Animation,83
Shrek the Third,Chris Miller,Mike Myers,2007,6.1,58,PG,Animation,93
Anastasia,Don Bluth,Meg Ryan,1997,7.1,61,G,Animation,94
Maleficent,Robert Stromberg,Angelina Jolie,2014,6.9,56,PG,Action,97
Spy Kids,Robert Rodriguez,Alexa PenaVega,2001,5.6,71,PG,Action,88
Robots,Chris Wedge,Ewan McGregor,2005,6.4,64,PG,Animation,91
Rango,Gore Verbinski,Johnny Depp,2011,7.3,75,PG,Animation,107
Sister Act,Emile Ardolino,Whoopi Goldberg,1992,6.5,51,PG,Comedy,100
Return to Oz,Walter Murch,Fairuza Balk,1985,6.7,42,PG,Adventure,113
Garfield: The Movie,Peter Hewitt,Breckin Meyer,2004,5,27,PG,Adventure,80
Ice Age: Collision Course,Michael Thurmeier,Ray Romano,2016,5.7,34,PG,Animation,94
Lightyear,Angus MacLane,Chris Evans,2022,6.1,60,PG,Animation,105
The Parent Trap,David Swift,Hayley Mills,1961,7.2,73,G,Comedy,129
The Little Mermaid,Ron Clements,Jodi Benson,1989,7.6,88,G,Animation,83
The Emperor's New Groove,Mark Dindal,David Spade,2000,7.4,70,G,Animation,78
The Little Rascals,Penelope Spheeris,Travis Tedford,1994,6.3,45,PG,Comedy,82
The Princess Diaries 2: Royal Engagement,Garry Marshall,Anne Hathaway,2004,5.8,43,G,Comedy,113
Pee-wee's Big Adventure,Tim Burton,Paul Reubens,1985,7,47,PG,Adventure,91
Miss Peregrine's Home for Peculiar Children,Tim Burton,Eva Green,2016,6.7,57,PG-13,Adventure,127
Atlantis: The Lost Empire,Gary Trousdale,Michael J. Fox,2001,6.9,52,PG,Animation,95
My Neighbor Totoro,Hayao Miyazaki,Hitoshi Takagi,1988,8.1,86,G,Animation,86
Rio,Carlos Saldanha,Jesse Eisenberg,2011,6.9,63,G,Animation,96
Night at the Museum: Battle of the Smithsonian,Shawn Levy,Ben Stiller,2009,6,42,PG,Adventure,105
Tarzan,Chris Buck,Tony Goldwyn,1999,7.3,80,G,Animation,88
Raya and the Last Dragon,Don Hall,Kelly Marie Tran,2021,7.3,74,PG,Animation,107
Frozen II,Chris Buck,Kristen Bell,2019,6.8,64,PG,Animation,103
Madagascar,Eric Darnell,Chris Rock,2005,6.9,57,PG,Animation,86
Teenage Mutant Ninja Turtles,Steve Barron,Judith Hoag,1990,6.8,51,PG,Action,93
Megamind,Tom McGrath,Will Ferrell,2010,7.3,63,PG,Animation,95
Cars 2,John Lasseter,Owen Wilson,2011,6.2,57,G,Animation,106
Kung Fu Panda 2,Jennifer Yuh Nelson,Jack Black,2011,7.3,67,PG,Animation,90
The Road to El Dorado,Bibo Bergeron,Kevin Kline,2000,6.9,51,PG,Animation,89
Monsters University,Dan Scanlon,Billy Crystal,2013,7.2,65,G,Animation,104
Trolls,Mike Mitchell,Anna Kendrick,2016,6.4,55,PG,Animation,92
Diary of a Wimpy Kid,Thor Freudenthal,Zachary Gordon,2010,6.2,56,PG,Comedy,94
My Girl,Howard Zieff,Anna Chlumsky,1991,6.9,56,PG,Comedy,102
Sonic the Hedgehog,Jeff Fowler,Ben Schwartz,2020,6.5,47,PG,Action,99
The Bad Guys,Pierre Perifel,Sam Rockwell,2022,6.8,64,PG,Animation,100
Fantastic Mr. Fox,Wes Anderson,George Clooney,2009,7.9,83,PG,Animation,87
Fantastic Beasts and Where to Find Them,David Yates,Eddie Redmayne,2016,7.2,66,PG-13,Adventure,132
Sonic the Hedgehog 2,Jeff Fowler,James Marsden,2022,6.5,47,PG,Action,122
Journey 2: The Mysterious Island,Brad Peyton,Josh Hutcherson,2012,5.7,41,PG,Action,94
"Honey, I Shrunk the Kids",Joe Johnston,Rick Moranis,1989,6.4,63,PG,Adventure,93
It's a Wonderful Life,Frank Capra,James Stewart,1946,8.6,89,PG,Drama,130
Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,Logan Lerman,2010,5.9,47,PG,Adventure,118
Toy Story 2,John Lasseter,Tom Hanks,1999,7.9,88,G,Animation,92
The Karate Kid,Harald Zwart,Jackie Chan,2010,6.2,61,PG,Action,140
The Flintstones,Brian Levant,John Goodman,1994,5,38,PG,Comedy,91
Sister Act 2: Back in the Habit,Bill Duke,Whoopi Goldberg,1993,5.7,38,PG,Comedy,107
Big Hero 6,Don Hall,Ryan Potter,2014,7.8,74,PG,Animation,102
Hotel Transylvania,Genndy Tartakovsky,Adam Sandler,2012,7,47,PG,Animation,91
Wreck-It Ralph,Rich Moore,John C. Reilly,2012,7.7,72,PG,Animation,101
Turning Red,Domee Shi,Rosalie Chiang,2022,7,83,PG,Animation,100
Brave,Mark Andrews,Kelly Macdonald,2012,7.1,69,PG,Animation,93
Beauty and the Beast,Gary Trousdale,Paige O'Hara,1991,8,95,G,Animation,84
Ice Age,Chris Wedge,Denis Leary,2002,7.5,61,PG,Animation,81
The Secret Life of Pets,Chris Renaud,Louis C.K.,2016,6.5,61,PG,Animation,86
Aladdin,Ron Clements,Scott Weinger,1992,8,86,G,Animation,90
Mary Poppins,Robert Stevenson,Julie Andrews,1964,7.8,88,G,Comedy,139
Bridge to Terabithia,Gabor Csupo,Josh Hutcherson,2007,7.2,74,PG,Drama,96
Mulan,Tony Bancroft,Ming-Na Wen,1998,7.7,72,G,Animation,87
Kung Fu Panda 3,Alessandro Carloni,Jack Black,2016,7.1,66,PG,Animation,95
The Jungle Book,Jon Favreau,Neel Sethi,2016,7.4,77,PG,Animation,106
Alice in Wonderland,Tim Burton,Mia Wasikowska,2010,6.4,53,PG,Adventure,108
Fantastic Beasts: The Secrets of Dumbledore,David Yates,Eddie Redmayne,2022,6.2,47,PG-13,Adventure,142
Holes,Andrew Davis,Shia LaBeouf,2003,7,71,PG,Adventure,117
Little Women,Gillian Armstrong,Susan Sarandon,1994,7.3,87,PG,Drama,115
Harry Potter and the Half-Blood Prince,David Yates,Daniel Radcliffe,2009,7.6,78,PG,Action,153
The Princess and the Frog,Ron Clements,Anika Noni Rose,2009,7.2,73,G,Animation,97
Hook,Steven Spielberg,Dustin Hoffman,1991,6.8,52,PG,Adventure,142
How to Train Your Dragon,Dean DeBlois,Jay Baruchel,2010,8.1,75,PG,Animation,98
Toy Story 3,Lee Unkrich,Tom Hanks,2010,8.3,92,G,Animation,103
Camp Nowhere,Jonathan Prince,Jonathan Jackson,1994,6.1,57.1,PG,Adventure,96
A Bug's Life,John Lasseter,Kevin Spacey,1998,7.2,78,G,Animation,95
Leo,Robert Marianetti,Adam Sandler,2023,7,65,PG,Animation,102
Lilo & Stitch,Dean DeBlois,Daveigh Chase,2002,7.3,74,PG,Animation,85
Harry Potter and the Order of the Phoenix,David Yates,Daniel Radcliffe,2007,7.5,71,PG-13,Action,138
Toy Story 4,Josh Cooley,Tom Hanks,2019,7.7,84,G,Animation,100
