Title,Director,Star Cast,Year,IMDb Rating,MetaScore,Certificates,Genre,Duration (minutes)
Yankee Doodle Dandy,Michael Curtiz,James Cagney,1942,7.6,89,Approved,Biography,126
Hoot,Wil Shriner,Logan Lerman,2006,5.5,46,PG,Adventure,91
The Chipmunk Adventure,Janice Karman,Ross Bagdasarian Jr.,1987,7.2,57.1,G,Animation,77
The Railway Children,Lionel Jeffries,Dinah Sheridan,1970,7.3,57.1,G,Drama,109
The Thief and the Cobbler,Richard Williams,Vincent Price,1993,7.1,57.1,G,Animation,99
The Santa Clause 3: The Escape Clause,Michael Lembeck,Tim Allen,2006,4.8,32,G,Adventure,92
The Rugrats Movie,Igor Kovalyov,Elizabeth Daily,1998,5.9,62,G,Animation,79
Trollhunters: Rise of the Titans,Johane Matte,Steve Alterman,2021,6.6,57.1,TV-Y7,Animation,104
Muppets from Space,Tim Hill,Dave Goelz,1999,6.2,53,G,Adventure,87
The Tale of Despereaux,Sam Fell,Matthew Broderick,2008,6.1,53,G,Animation,93
Christmas with the Kranks,Joe Roth,Tim Allen,2004,5.5,22,PG,Comedy,99
Wildfire: The Legend of the Cherokee Ghost Horse,Eric Parkinson,Anne Heche,2023,7.7,57.1,PG,Family,100
Dreamer,John Gatins,Kurt Russell,2005,6.8,59,PG,Drama,106
Next Gen,Kevin R. Adams,John Krasinski,2018,6.6,57.1,TV-PG,Animation,106
Buckley's Chance,Tim Brown,Bill Nighy,2021,5.6,57.1,PG,Family,100
Son of Rambow,Garth Jennings,Bill Milner,2007,7,66,PG-13,Action,96
The Country Bears,Peter Hastings,Haley Joel Osment,2002,4.3,37,G,Comedy,88
The Christmas Chronicles,Clay Kaytis,Kurt Russell,2018,7,52,PG,Adventure,104
Mighty Morphin Power Rangers: Once & Always,Charlie Haskell,Walter Jones,2023,5.7,62,TV-Y7-FV,Action,55
Maquia: When the Promised Flower Blooms,Masakazu Hashimoto,Manaka Iwami,2018,7.4,72,Not Rated,Animation,115
The Courtship of Eddie's Father,Vincente Minnelli,Glenn Ford,1963,6.8,57.1,Approved,Comedy,118
The Perfect Man,Mark Rosman,Hilary Duff,2005,5.4,27,PG,Comedy,100
Middle School: The Worst Years of My Life,Steve Carr,Griffin Gluck,2016,6.1,51,PG,Comedy,92
First Kid,David Mickey Evans,Sinbad,1996,5.2,48,PG,Comedy,101
3 Ninjas: Knuckle Up,Shin Sang-ok,Victor Wong,1995,4.3,39,PG-13,Action,85
Cats & Dogs: The Revenge of Kitty Galore,Brad Peyton,Bette Midler,2010,4.4,30,PG,Action,82
The Perfect Game,William Dear,Clifton Collins Jr.,2009,6.9,42,PG,Comedy,118
Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,Wataru Takahashi,Arapon,2018,6.3,57.1,PG,Animation,100
Darby O'Gill and the Little People,Robert Stevenson,Albert Sharpe,1959,7.1,80,G,Adventure,93
Planes: Fire & Rescue,Bobs Gannaway,Dane Cook,2014,5.9,48,PG,Animation,83
Jem and the Holograms,Jon M. Chu,Aubrey Shea,2015,4.2,42,PG,Adventure,118
Free Willy 2: The Adventure Home,Dwight H. Little,Jason James Richter,1995,5.1,57.1,PG,Adventure,95
The Breadwinner,Nora Twomey,Saara Chaudry,2017,7.7,78,PG-13,Animation,94
Jack Frost,Troy Miller,Michael Keaton,1998,5.4,40,PG,Comedy,101
Homeward Bound II: Lost in San Francisco,David R. Ellis,Michael J. Fox,1996,5.9,57.1,G,Adventure,88
Penguin Bloom,Glendyn Ivin,Naomi Watts,2020,6.8,54,TV-14,Biography,95
Asterix at the Olympic Games,Frédéric Forestier,Gérard Depardieu,2008,5.2,57.1,Not Rated,Adventure,116
